month,COUNT(user)
2006-10,5
2006-11,8
2006-12,6
2007-01,11
2007-02,30
2007-03,71
2007-04,192
2007-05,35
2007-06,73
2007-07,79
2007-08,73
2007-09,300
2007-10,77
2007-11,91
2007-12,67
2008-01,75
2008-02,51
2008-03,60
2008-04,47
2008-05,57
2008-06,46
2008-07,61
2008-08,73
2008-09,50
2008-10,38
2008-11,61
2008-12,62
2009-01,117
2009-02,63
2009-03,84
2009-04,46
2009-05,52
2009-06,93
2009-07,53
2009-08,57
2009-09,54
2009-10,53
2009-11,43
2009-12,23
2010-01,40
2010-02,29
2010-03,71
2010-04,57
2010-05,49
2010-06,45
2010-07,56
2010-08,92
2010-09,72
2010-10,56
2010-11,82
2010-12,63
2011-01,79
2011-02,65
2011-03,72
2011-04,112
2011-05,91
2011-06,111
2011-07,137
2011-08,158
2011-09,106
2011-10,122
2011-11,113
2011-12,148
2012-01,118
2012-02,127
2012-03,120
2012-04,132
2012-05,97
2012-06,111
2012-07,115
2012-08,99
2012-09,99
2012-10,87
2012-11,83
2012-12,84
2013-01,113
2013-02,77
2013-03,95
2013-04,87
2013-05,85
2013-06,88
2013-07,76
2013-08,85
2013-09,70
2013-10,93
2013-11,77
2013-12,65
2014-01,92
2014-02,66
2014-03,78
2014-04,81
2014-05,69
2014-06,63
2014-07,68
2014-08,74
2014-09,57
2014-10,75
2014-11,55
2014-12,64
2015-01,69
2015-02,81
2015-03,58
2015-04,67
2015-05,47
2015-06,47
2015-07,55
2015-08,49
2015-09,49
2015-10,39
2015-11,31
2015-12,41
2016-01,60
2016-02,52
2016-03,49
2016-04,41
2016-05,35
2016-06,31
2016-07,41
2016-08,35
2016-09,29
2016-10,26
2016-11,28
2016-12,36
2017-01,30
2017-02,32
2017-03,36
2017-04,36
2017-05,27
2017-06,30
2017-07,27
2017-08,25
2017-09,19
2017-10,31
2017-11,27
2017-12,29
2018-01,29
2018-02,28
2018-03,40
2018-04,28
2018-05,23
2018-06,19
2018-07,27
2018-08,20
2018-09,27
2018-10,17
2018-11,16
2018-12,29
2019-01,29
2019-02,20
2019-03,25
2019-04,29
2019-05,22
2019-06,20
2019-07,23
2019-08,19
2019-09,15
2019-10,21
2019-11,12
2019-12,18
2020-01,15
2020-02,14
2020-03,14
2020-04,14
2020-05,16
2020-06,19
2020-07,26
2020-08,15
2020-09,14
2020-10,16
2020-11,35
2020-12,30
2021-01,28
2021-02,20
2021-03,26
2021-04,22
2021-05,25
2021-06,28
2021-07,18
2021-08,22
2021-09,17
2021-10,9
2021-11,9
2021-12,14
2022-01,18
2022-02,11
2022-03,10
2022-04,17
2022-05,19
2022-06,14
2022-07,28
2022-08,27
2022-09,18
2022-10,20
2022-11,12
2022-12,19
2023-01,20
2023-02,12
2023-03,6
2023-04,16
2023-05,15
2023-06,12
2023-07,18
2023-08,15
2023-09,10
2023-10,12
2023-11,11
2023-12,14
2024-01,18
2024-02,15
2024-03,20
2024-04,13
2024-05,12
2024-06,18
2024-07,7
2024-08,14
2024-09,12
2024-10,12
2024-11,19
2024-12,12
2025-01,13
2025-02,9
2025-03,12
2025-04,11
2025-05,12
2025-06,8
2025-07,17
2025-08,16
2025-09,15
2025-10,4
